,Target,Method,Pearson,Spearman,Loss,MAE,Label
0,5NGX_A,DOPE,-0.03424207699641057,0.11514266012710828,7.200000000000006,,GDT_HA
1,5NGX_A,DeepAccNet,0.1730732829142782,-0.005381326669036178,3.200000000000003,0.08759832031249999,GDT_HA
2,5NGX_A,DeepAccNet-Bert,0.4691600097191737,0.3542142460227041,0.8000000000000007,0.061359179687499994,GDT_HA
3,5NGX_A,P3CMQA,-0.24178711115852974,-0.20251482454308523,5.600000000000005,0.097576110727787,GDT_HA
4,5NGX_A,ProQ3D,-0.028189815038934272,-0.01751289138798049,6.999999999999995,0.18337301999999997,GDT_HA
5,5NGX_A,SBROD,0.5012405532748824,0.2431666659292102,5.000000000000004,,GDT_HA
6,5NGX_A,SOAP,0.2940439013599216,0.23565899492672834,3.400000000000003,,GDT_HA
7,5NGX_A,VoroCNN,0.164291292700719,0.045099357144573735,3.8000000000000145,0.2785066867166667,GDT_HA
8,5NGX_A,pLDDT,0.4231498818169976,0.5160470336609395,2.400000000000002,0.07246931480126326,GDT_HA
9,5NGX_A,pTMscore,0.38897023339689407,0.44386597863507693,3.200000000000003,0.02012539561403819,GDT_HA
10,5OND_A,DOPE,0.5935012090032956,0.3603943910889903,2.959999999999996,,GDT_HA
11,5OND_A,DeepAccNet,0.5438280166251896,0.534980377973862,1.1099999999999999,0.08236771484375,GDT_HA
12,5OND_A,DeepAccNet-Bert,0.10768782795305046,0.2003457995333779,1.1099999999999999,0.05506817578125,GDT_HA
13,5OND_A,P3CMQA,0.6440324786221845,0.3764406701570678,4.999999999999993,0.10843362679243088,GDT_HA
14,5OND_A,ProQ3D,-0.25311508446927466,-0.20194105011301583,9.629999999999994,0.10401666000000001,GDT_HA
15,5OND_A,SBROD,0.14379636021690917,0.44566031118547605,9.629999999999994,,GDT_HA
16,5OND_A,SOAP,0.4209945535507406,0.40602235585998886,2.2199999999999998,,GDT_HA
17,5OND_A,VoroCNN,0.20455848372583535,0.26207870016360985,2.959999999999996,0.10656880890493828,GDT_HA
18,5OND_A,pLDDT,0.5959471320509243,0.5106573263284127,2.0299999999999985,0.022540195394021058,GDT_HA
19,5OND_A,pTMscore,0.35908644467330403,0.6112673833215266,4.62999999999999,0.04617817164088686,GDT_HA
20,5QII_A,DOPE,-0.6830833971344973,-0.5061793602864858,6.489999999999996,,GDT_HA
21,5QII_A,DeepAccNet,-0.7535138344917898,-0.7692710650546939,7.539999999999991,0.1007982734375,GDT_HA
22,5QII_A,DeepAccNet-Bert,-0.636765409974577,-0.6283204064864291,7.539999999999991,0.10687091796875002,GDT_HA
23,5QII_A,P3CMQA,-0.7986858609887393,-0.028227015929500124,7.16,0.06869164801359177,GDT_HA
24,5QII_A,ProQ3D,-0.7386706002795939,-0.7287019104342609,7.539999999999991,0.18599957,GDT_HA
25,5QII_A,SBROD,-0.6386736409350362,-0.032961298669311495,7.34999999999999,,GDT_HA
26,5QII_A,SOAP,-0.18319862043636018,0.33327894016893145,6.679999999999997,,GDT_HA
27,5QII_A,VoroCNN,-0.7423774026940184,-0.1288519207661093,6.489999999999996,0.27681875957797203,GDT_HA
28,5QII_A,pLDDT,0.6190751701478425,0.3270318791670332,2.7699999999999947,0.015207723806665581,GDT_HA
29,5QII_A,pTMscore,0.6740261595056315,0.5249513243883321,0.5699999999999927,0.03243095734022514,GDT_HA
30,5VTL_A,DOPE,0.9149394439942615,0.8814606835838572,2.859999999999996,,GDT_HA
31,5VTL_A,DeepAccNet,0.9655168266949417,0.8661857939098496,0.8299999999999974,0.2029614765625,GDT_HA
32,5VTL_A,DeepAccNet-Bert,0.9333608846313672,0.7841007997847788,11.909999999999998,0.198376515625,GDT_HA
33,5VTL_A,P3CMQA,0.9494801181286502,0.8810458799682356,2.1399999999999975,0.21835360270547866,GDT_HA
34,5VTL_A,ProQ3D,0.9071978136619976,0.7771124460070455,1.0699999999999932,0.11798808999999999,GDT_HA
35,5VTL_A,SBROD,0.8293669002054208,0.6482435390004467,16.189999999999994,,GDT_HA
36,5VTL_A,SOAP,0.9639193261859463,0.9108449816640799,1.7900000000000027,,GDT_HA
37,5VTL_A,VoroCNN,0.9393348000744961,0.865441613031929,3.2200000000000006,0.07392875568952381,GDT_HA
38,5VTL_A,pLDDT,0.971634960719764,0.9165644709391526,1.5499999999999958,0.14174868972424154,GDT_HA
39,5VTL_A,pTMscore,0.9698764457257923,0.890517354207756,4.049999999999998,0.06435771063526277,GDT_HA
40,5WHF_A,DOPE,-0.16082865660630077,-0.4001100403864348,11.619999999999997,,GDT_HA
41,5WHF_A,DeepAccNet,-0.296276577254385,-0.46435632535802085,12.983333333333336,0.26721523046875,GDT_HA
42,5WHF_A,DeepAccNet-Bert,0.4393979955253626,0.24251042617582114,1.1599999999999944,0.3054159140625,GDT_HA
43,5WHF_A,P3CMQA,-0.4997086841394528,-0.4133746365129972,12.5,0.12957031667613983,GDT_HA
44,5WHF_A,ProQ3D,0.0904064658266598,0.13121841514132088,12.5,0.11014154,GDT_HA
45,5WHF_A,SBROD,0.14272669805206376,0.13417278878529554,10.460000000000003,,GDT_HA
46,5WHF_A,SOAP,0.6010823740251533,0.3947052213931552,2.32,,GDT_HA
47,5WHF_A,VoroCNN,0.3114223843120736,0.0400246928370957,12.5,0.22673952578611115,GDT_HA
48,5WHF_A,pLDDT,0.003080829537689988,-0.3102129932762555,10.750000000000004,0.2952232225128939,GDT_HA
49,5WHF_A,pTMscore,0.1580287744131962,0.4812793502856461,11.619999999999997,0.06480619661226356,GDT_HA
50,5XP0_A,DOPE,0.6783820018705925,0.4066495367169519,2.2800000000000042,,GDT_HA
51,5XP0_A,DeepAccNet,0.9197673959870244,0.7434522414522168,0.9500000000000064,0.036608652343750006,GDT_HA
52,5XP0_A,DeepAccNet-Bert,0.86137903850346,0.6463065935086738,1.9000000000000017,0.08828234375,GDT_HA
53,5XP0_A,P3CMQA,0.6297213689243791,0.5012831453241332,2.4600000000000066,0.049229646138191224,GDT_HA
54,5XP0_A,ProQ3D,0.7432034910036684,0.3237373103357765,2.090000000000003,0.13017456,GDT_HA
55,5XP0_A,SBROD,0.5318082768213092,0.4016221192219115,2.2800000000000042,,GDT_HA
56,5XP0_A,SOAP,0.9085392773573258,0.6611568233391067,2.2800000000000042,,GDT_HA
57,5XP0_A,VoroCNN,0.48023662771488335,0.3501513333282348,2.840000000000009,0.2099090009751613,GDT_HA
58,5XP0_A,pLDDT,0.954335942159385,0.8210935598981423,0.0,0.02851683036213879,GDT_HA
59,5XP0_A,pTMscore,0.9564680760149394,0.8340783650962481,2.090000000000003,0.10337111162912745,GDT_HA
60,5Y18_A,DOPE,0.2810169437808003,0.08779429673048987,1.1900000000000022,,GDT_HA
61,5Y18_A,DeepAccNet,-0.21009638897193353,-0.3644810289778237,1.1900000000000022,0.09988002343749999,GDT_HA
62,5Y18_A,DeepAccNet-Bert,0.6476014158630341,0.5847109077988991,0.5900000000000016,0.035099382812499996,GDT_HA
63,5Y18_A,P3CMQA,-0.3512872407661536,-0.5744426264591345,1.1900000000000022,0.04587997986650466,GDT_HA
64,5Y18_A,ProQ3D,0.423650953706389,0.48973511982514883,0.5900000000000016,0.10410314000000001,GDT_HA
65,5Y18_A,SBROD,0.7622170428004639,0.7884714486584609,0.5900000000000016,,GDT_HA
66,5Y18_A,SOAP,-0.2967152668589379,-0.22264260475236983,1.1900000000000022,,GDT_HA
67,5Y18_A,VoroCNN,0.15374557445497775,0.03492557992877764,0.5900000000000016,0.25111257452789476,GDT_HA
68,5Y18_A,pLDDT,-0.34941517443441306,-0.7042662609154297,1.4900000000000024,0.04467669355956119,GDT_HA
69,5Y18_A,pTMscore,-0.25141554700200885,-0.5790196469277707,1.4900000000000024,0.08421809279609414,GDT_HA
70,5Y24_A,DOPE,0.7366367021473084,0.4030548544213613,0.15000000000000568,,GDT_HA
71,5Y24_A,DeepAccNet,-0.1263650172339024,0.05137001205029364,18.830000000000002,0.26843101953125,GDT_HA
72,5Y24_A,DeepAccNet-Bert,0.04072527533021793,0.03490722163208419,5.263333333333331,0.31869469140625,GDT_HA
73,5Y24_A,P3CMQA,0.6717742368204384,0.5817373253673966,0.22999999999999687,0.25837610696411134,GDT_HA
74,5Y24_A,ProQ3D,0.402026964662474,0.2927048158769575,8.040000000000003,0.047919995000000014,GDT_HA
75,5Y24_A,SBROD,0.3917285438837093,0.4309694660380729,1.0500000000000065,,GDT_HA
76,5Y24_A,SOAP,0.5949284000275639,0.5549569722431863,5.2100000000000035,,GDT_HA
77,5Y24_A,VoroCNN,0.5060378607544443,0.4878159210941362,3.949999999999998,0.05090454423232324,GDT_HA
78,5Y24_A,pLDDT,0.038045951582052005,-0.18227954070234745,20.610000000000007,0.2645948248967119,GDT_HA
79,5Y24_A,pTMscore,-0.19861278750182393,-0.354025180775261,20.610000000000007,0.22262234434099773,GDT_HA
80,5Y6H_A,DOPE,-0.02609513667634193,0.08008756923364586,1.8100000000000005,,GDT_HA
81,5Y6H_A,DeepAccNet,-0.13007505103688702,-0.16831721410730205,2.500000000000002,0.049528609375000004,GDT_HA
82,5Y6H_A,DeepAccNet-Bert,-0.0016133444664017688,0.009360814656452068,4.769999999999996,0.01570587890625,GDT_HA
83,5Y6H_A,P3CMQA,0.030117103260643263,0.04448885758416269,4.769999999999996,0.08219359929132462,GDT_HA
84,5Y6H_A,ProQ3D,0.05826187963842188,0.11196369197540183,2.500000000000002,0.030207485000000003,GDT_HA
85,5Y6H_A,SBROD,0.41131230738081986,0.41977513539121397,2.0399999999999974,,GDT_HA
86,5Y6H_A,SOAP,0.005310177585471437,0.028588591924371087,2.500000000000002,,GDT_HA
87,5Y6H_A,VoroCNN,0.07374587204548583,0.08165440310310045,2.0399999999999974,0.14849157460294116,GDT_HA
88,5Y6H_A,pLDDT,-0.023143533452216196,-0.042898304594026035,2.500000000000002,0.08635946727192505,GDT_HA
89,5Y6H_A,pTMscore,0.01475184188216909,0.011089500894825096,2.500000000000002,0.02496042341681937,GDT_HA
90,5YK5_C,DOPE,-0.4513103702594107,-0.4582625073228888,4.759999999999998,,GDT_HA
