,Neff,NumMSA,Target
0,9570,15080,6AN4_A
1,8090,16217,5ZHE_A
2,2821,8526,5ZCT_A
3,8277,14279,6IYB_A
4,1902,5720,6PXX_B
5,3333,8057,6P58_A
6,1005,1857,7CIW_A
7,5,11,6EXU_A
8,3096,8085,6ROY_A
9,2527,10656,6S9A_A
10,303,1440,6YJ9_A
11,1407,3031,6ZW8_A
12,11661,21293,6SP9_A
13,6064,17232,6LH7_A
14,488,1830,7CMZ_A
15,6801,12167,6FG0_A
16,11268,15624,6ZZO_A
17,140,2764,6XWK_BBB
18,9172,16050,6RTR_B
19,4880,9789,6F4J_D
20,42,513,5Y18_A
21,4467,9122,5Z49_B
22,1321,5686,6FRR_A
23,4301,8067,6BQA_A
24,1320,2143,7EG3_P
25,9478,15402,6Z4W_A
26,686,3527,6S5K_A
27,123,495,6Q8G_C
28,3662,14123,7LDA_A
29,1529,5728,6K92_A
30,4888,13876,7C8N_A
31,975,3650,6R09_A
32,503,897,6JRD_A
33,58,2263,6LFF_A
34,1604,5979,6D0S_A
35,765,2459,6IUX_A
36,621,1679,7RVA_C
37,157,742,5YK5_C
38,2389,5264,7DV7_B
39,1076,3946,7BER_A
40,6008,8746,7C8S_A
41,3082,6994,5QII_A
42,488,1103,6RA3_A
43,2007,4879,7CRG_A
44,3258,10228,6XOG_A
45,50,79,7A8S_A
46,405,890,6OAR_A
47,1030,6228,6XM2_I
48,2493,8405,5ZCY_A
49,4236,11080,6HY1_A
50,2488,10416,6YA1_A
51,5326,7827,7NTJ_B
52,3132,9465,5ZOE_A
53,1513,4451,6U1M_A
54,8925,14879,6X5G_A
55,1151,2064,6IIY_A
56,1038,2731,7MQ5_A
57,102,186,6JZJ_A
58,3449,9506,6OCR_C
59,606,1736,6AWI_A
60,7209,9615,7DVO_A
61,8677,15934,5Z0A_A
62,4769,9390,6YX0_A
63,15,180,6TRK_A
64,916,2306,5ZGX_A
65,7921,11790,6WR1_A
66,5792,9795,6NW2_A
67,1749,3886,6H2R_A
68,3208,9207,6ITA_A
69,615,1700,5Z78_A
70,1779,7613,6Y0Q_A
71,9335,19005,6NYO_E
72,2220,6510,7L4C_A
73,4118,11940,7B1V_B
74,13072,22108,6EM7_A
75,2283,11236,6NQ6_B
76,5932,12124,6OP8_A
77,735,1993,7CNE_A
78,9396,15971,6MKE_A
79,4259,13463,6XPB_B
80,2571,7525,6NKC_A
81,888,4273,6K9D_A
82,8717,13218,6YQ0_AAA
83,726,4287,6S62_A
84,2088,8635,6N6J_B
85,688,3519,6K9H_A
86,8913,13889,7AX7_A
87,178,2365,6O5O_A
88,2899,6757,5OND_A
89,6538,13979,6IZ9_A
90,5440,15708,7COH_O
91,795,2016,6LCH_A
92,4806,11225,5BKE_A
93,9469,19130,6G2V_A
94,510,1347,6VPA_A
95,149,754,6DCJ_A
96,3428,11346,6H26_A
97,3476,13236,6GHJ_A
98,596,2264,6JFK_A
99,3291,7690,6DHP_u
100,1793,7468,6YRD_F
101,4243,10777,7L27_A
102,546,2514,5ZCG_C
103,6391,12427,6IPY_A
104,2473,7505,7N71_A
105,6734,19667,6N9B_A
106,2532,7193,5NGX_A
107,5725,17985,6Z4N_AAA
108,1845,6424,6JF1_A
109,4368,16172,7CGU_A
110,5840,10932,6DVS_A
111,16,375,6WXD_A
112,923,3775,6QGR_A
113,796,3228,6DOP_A
114,2853,7141,6PNV_A
115,79,1205,6Q9Y_B
116,93,1771,6CZQ_B
117,2579,8555,5XLN_A
118,6937,10397,6NXI_A
119,8786,12958,7LRL_A
120,5852,13081,6KII_A
121,4029,8616,7AGE_A
122,1327,5062,6ZDY_A
123,139,960,7D5Y_A
124,1654,5177,7C6B_A
125,1141,3892,6CFV_A
126,99,1070,6IUH_A
127,2935,7634,6TEF_AAA
128,2999,9673,6UBO_A
129,476,3315,6GGR_A
130,4741,18126,6LTF_A
131,6773,10639,6HH2_A
132,108,494,5XTT_A
133,825,6291,5WHF_A
134,40,355,6H6Y_A
135,6115,20370,5YXF_A
136,4,27,6E5X_A
137,1485,4277,6W8B_A
138,6411,10236,6GXG_B
139,3515,8439,6LR8_A
140,244,1048,6XXV_C
141,2259,5757,6IL7_A
142,4686,15888,6NKJ_A
143,572,2377,5W60_A
144,110,870,6I9C_A
145,4392,8991,6EJX_D
146,2233,6068,6H4E_A
147,360,1663,6AC0_A
148,711,2420,6H9E_B
149,1866,5302,5XO0_A
150,1073,6718,6QMS_C
151,55,331,6U2S_A
152,5629,12001,6ODD_A
153,9445,17901,6I3B_B
154,1,2,6N9H_A
155,545,3277,6ONC_D
156,493,4247,6NDQ_A
157,1559,6624,6GYI_D
158,3753,14210,6UYH_A
159,713,1777,7F2R_A
160,640,5255,7A1V_A
161,534,1960,6M14_B
162,3971,8811,7BYF_A
163,3147,6504,6DNV_A
164,421,1884,6MQ7_A
165,1179,2823,7NDV_C
166,3751,9999,7DM1_B
167,10144,11732,6HR0_A
168,3121,11924,6BNZ_A
169,12525,21324,7P1L_A
170,2077,5467,6NMT_C
171,2943,10579,6HSA_A
172,232,2182,6FSN_A
173,10581,13271,7OAJ_D
174,338,1895,7OK6_HHH
175,7529,11446,6J76_A
176,3747,18560,6D28_A
177,564,1729,6BCD_A
178,1904,7200,6KOK_A
179,2,35,6BJG_A
180,4767,12904,6GPK_A
181,5010,8644,6ABQ_B
182,5456,13038,5ZBJ_A
183,163,975,6L1M_A
184,3798,9937,7M13_A
185,21,126,7NUG_A
186,753,2925,7NE2_A
187,49,226,6FJN_A
188,5046,8820,5R4O_A
189,4727,9773,6BZ5_A
190,268,2437,6D5D_A
191,348,1559,6MCY_A
192,2330,7779,6K4X_A
193,7287,16391,6TAH_AAA
194,110,932,6VJJ_B
195,5458,13140,6LW3_A
196,3261,7181,6QXU_A
197,6821,10899,6WJZ_A
198,2260,5867,6ZPD_A
199,848,1902,7EHF_A
200,7505,13978,6P7Z_A
201,7030,9550,6VAP_A
202,72,294,7CUS_A
203,318,1502,7NDY_A
204,4878,8347,6IN2_A
205,406,2940,6TBZ_A
206,1547,3748,6L4Z_H
207,7914,12555,6U9T_A
208,4454,8554,7D1X_A
209,799,1894,6VRZ_A
210,877,4702,7DG2_C
211,616,5253,6T5Z_A
212,601,2487,6WH1_A
213,4619,8061,7JOF_A
214,2343,9850,6HJF_A
215,1451,4246,5YQT_C
216,8082,15424,6N7L_A
217,12896,15145,6NEK_A
218,4922,10528,6LZZ_A
219,1507,2422,6JU5_A
220,5762,8704,6LCY_A
221,5440,13019,6DBC_A
222,7099,19122,7KCT_A
223,5807,11791,6BA0_A
224,2798,7911,6LJE_A
225,3815,7771,6HAZ_A
226,1402,9487,6WQM_A
227,9746,19532,7C1O_A
228,721,7055,6BKX_A
229,2444,5130,6NP9_A
230,16208,23527,6JDI_A
231,6235,12300,6U9N_A
232,779,2406,6HM4_A
233,221,1453,6CB0_A
234,2243,6415,6E6I_A
235,2410,4320,6MAC_K
236,702,4977,6TA7_A
237,2321,10809,6GCB_A
238,5027,10986,6LFB_A
239,1161,2600,6SFH_A
240,1238,3811,6N9I_A
241,1501,5151,6DS2_A
242,547,4452,6F1J_A
243,717,1747,6TYB_C
244,6553,10881,6KLZ_A
245,2058,8569,6HYY_A
246,9867,19676,5OBY_A
247,498,3186,6E8R_A
248,4800,9461,6UEZ_A
249,4288,12522,6XHV_1Y
250,2369,6111,6ZYL_A
251,593,1957,6HFO_A
252,3389,6842,6INF_A
253,3583,11458,6F7H_A
254,26,94,6LH8_A
255,762,2623,6WVH_A
256,6538,13842,6DHV_A
257,819,1122,6IJ1_A
258,5829,13176,7EXS_A
259,483,841,6J03_A
260,5839,14277,6LGI_B
261,571,1774,6ER4_A
262,56,68,7N50_A
263,1035,1790,7KB2_A
264,597,1973,6DKN_A
265,1,10,5VTL_A
266,1963,4754,6NES_A
267,2,15,6Z4U_A
268,14513,19894,6TJB_B
269,205,473,5ZMO_A
270,2713,7681,6SW4_A
271,673,2864,6H24_A
272,72,133,7E5T_A
273,190,746,5Y6H_A
274,204,864,6P5Q_A
275,7981,15789,7CFH_A
276,2188,5047,6NOP_B
277,66,185,6XYA_B
278,6694,12452,6PH2_A
279,49,93,6MRN_A
280,44,132,6DB1_A
281,394,1621,6BSU_A
282,401,1603,6S4C_A
283,764,1483,6IS9_A
284,5587,14381,5R61_A
285,627,1495,6I1M_A
286,947,1565,6AD3_A
287,122,156,6W3G_A
288,515,1369,5ZJ4_A
289,4154,10543,6Y0K_AAA
290,764,1705,6TJA_A
291,2460,8857,7E36_A
292,758,2573,7CC7_A
293,2534,7194,6HPF_A
294,3286,8416,6RS4_A
295,292,858,6I8X_A
296,736,4304,5QS9_A
297,971,2030,6E0O_A
298,102,257,5XP0_A
299,1519,3962,7CV7_A
300,435,1338,6JD5_A
301,63,132,6T8D_X
302,366,960,7M5F_C
303,233,1148,6S2W_B
304,2,2,7EL1_E
305,605,2899,6NZ4_A
306,23,444,7CM1_B
307,1974,5275,6HLK_A
308,6922,13829,6HHM_A
309,903,1873,7KH2_A
310,2683,6890,6L3F_A
311,567,2478,6LM1_A
312,2768,7806,6GT9_A
313,338,1004,5BKA_B
314,7412,10682,6U5L_A
315,496,1783,6Y4L_B
316,332,578,7RTY_A
